datetime,Actual_Demand,Forecasted_Demand,Residual,Is_Peak
2019-04-13 01:00:00,1161.6177,1110.4621251290723,51.155574870927694,False
2019-04-13 02:00:00,1130.4635,1076.478441046398,53.98505895360199,False
2019-04-13 03:00:00,1093.8777,1040.835826876249,53.041873123750975,False
2019-04-13 04:00:00,1083.0332,1016.7798846706861,66.25331532931398,False
2019-04-13 05:00:00,1081.2705,1015.9193480724016,65.3511519275985,False
2019-04-13 06:00:00,1034.6587,994.3655192374897,40.29318076251025,False
2019-04-13 07:00:00,1087.6133,1066.7769275658552,20.836372434144778,False
2019-04-13 08:00:00,1222.4729,1185.6988642078447,36.774035792155246,False
2019-04-13 09:00:00,1318.1572,1299.6335023850197,18.523697614980392,False
2019-04-13 10:00:00,1390.8348,1401.775008763645,-10.940208763644932,False
2019-04-13 11:00:00,1422.3509,1423.528586887231,-1.1776868872311752,False
2019-04-13 12:00:00,1403.7269,1396.2415401960038,7.485359803996062,False
2019-04-13 13:00:00,1381.3652,1385.1146183913622,-3.749418391362269,False
2019-04-13 14:00:00,1378.3045,1353.8437566488822,24.4607433511178,False
2019-04-13 15:00:00,1352.1167,1346.1616398781816,5.955060121818406,False
2019-04-13 16:00:00,1323.7436,1315.3976998323976,8.345900167602395,False
2019-04-13 17:00:00,1273.1797,1253.518405782671,19.661294217328987,False
2019-04-13 18:00:00,1316.2446,1258.1842650293916,58.06033497060844,False
2019-04-13 19:00:00,1364.0076,1306.3314274187157,57.67617258128416,False
2019-04-13 20:00:00,1343.955,1283.9433203376698,60.01167966233015,False
2019-04-13 21:00:00,1312.5201,1253.0483263792848,59.47177362071511,False
2019-04-13 22:00:00,1264.8222,1204.51540319422,60.306796805780095,False
2019-04-13 23:00:00,1212.0786,1131.9182087469485,80.16039125305156,False
2019-04-14 00:00:00,1169.3011,1108.7476346634858,60.55346533651414,False
2019-04-14 01:00:00,1132.6436,1082.2787650728412,50.36483492715888,False
2019-04-14 02:00:00,1100.0635,1055.6722003436782,44.391299656321735,False
2019-04-14 03:00:00,1073.6992,1027.4728211345143,46.226378865485685,False
2019-04-14 04:00:00,1049.3384,1002.1697302906597,47.168669709340406,False
2019-04-14 05:00:00,1038.3834,997.4535186927607,40.92988130723927,False
2019-04-14 06:00:00,973.3608,954.569769363781,18.791030636219034,False
2019-04-14 07:00:00,998.4544,989.677548803154,8.776851196845996,False
2019-04-14 08:00:00,1062.4088,1038.8058646972283,23.602935302771584,False
2019-04-14 09:00:00,1116.6681,1102.9097519123618,13.758348087638296,False
2019-04-14 10:00:00,1170.0123,1154.5919736766762,15.420326323323934,False
2019-04-14 11:00:00,1208.5383,1216.3203707491482,-7.782070749148261,False
2019-04-14 12:00:00,1233.0348,1231.1205823435373,1.914217656462597,False
2019-04-14 13:00:00,1261.1974,1241.01784655547,20.17955344453003,False
2019-04-14 14:00:00,1238.9007,1233.946636129609,4.954063870390883,False
2019-04-14 15:00:00,1235.8196,1229.9230468053875,5.896553194612579,False
2019-04-14 16:00:00,1227.6484,1195.5807430191462,32.067656980853826,False
2019-04-14 17:00:00,1202.1964,1179.7553553080018,22.441044691998286,False
2019-04-14 18:00:00,1243.0922,1204.7343784028767,38.35782159712335,False
2019-04-14 19:00:00,1310.539,1259.240321840058,51.29867815994203,False
2019-04-14 20:00:00,1324.6231,1261.1450503804137,63.47804961958627,False
2019-04-14 21:00:00,1337.3451,1247.939943383381,89.40515661661902,False
2019-04-14 22:00:00,1268.3403,1207.5700817677384,60.77021823226164,False
2019-04-14 23:00:00,1219.7115,1144.6661063377612,75.04539366223867,False
2019-04-15 00:00:00,1161.8577,1104.1463562030688,57.71134379693126,False
2019-04-15 01:00:00,1118.8786,1078.7065459995556,40.172054000444405,False
2019-04-15 02:00:00,1080.9274,1046.6219891185567,34.30541088144332,False
2019-04-15 03:00:00,1056.9609,1023.7893380094079,33.17156199059218,False
2019-04-15 04:00:00,1046.1292,1011.1865516063647,34.94264839363541,False
2019-04-15 05:00:00,1059.1904,1028.215290473014,30.97510952698599,False
2019-04-15 06:00:00,1062.0567,1050.2919032286854,11.76479677131465,False
2019-04-15 07:00:00,1198.3327,1182.4119337995294,15.920766200470553,False
2019-04-15 08:00:00,1388.8446,1353.7584269289355,35.08617307106442,False
2019-04-15 09:00:00,1498.5021,1449.74874414802,48.753355851979904,False
2019-04-15 10:00:00,1570.1222,1536.9494216945416,33.17277830545845,False
2019-04-15 11:00:00,1595.4878,1566.9434748025503,28.54432519744978,False
2019-04-15 12:00:00,1598.1255,1596.1110359211436,2.014464078856463,False
2019-04-15 13:00:00,1649.1844,1597.2746908346392,51.90970916536094,False
2019-04-15 14:00:00,1651.4765,1598.924013503663,52.552486496336996,False
2019-04-15 15:00:00,1622.4295,1587.8665148861685,34.56298511383147,False
2019-04-15 16:00:00,1545.4469,1474.6654986130138,70.78140138698609,False
2019-04-15 17:00:00,1420.2473,1377.1987986697252,43.0485013302748,False
2019-04-15 18:00:00,1390.2364,1387.2321980990498,3.004201900950193,False
2019-04-15 19:00:00,1435.9499,1410.735866840491,25.214033159508972,False
2019-04-15 20:00:00,1421.188,1366.6368098563041,54.551190143695976,False
2019-04-15 21:00:00,1392.2321,1332.3761532138537,59.855946786146205,False
2019-04-15 22:00:00,1333.0622,1275.4660805698918,57.596119430108274,False
2019-04-15 23:00:00,1273.0805,1212.9359904337791,60.144509566220904,False
2019-04-16 00:00:00,1200.5614,1182.8007997120594,17.760600287940633,False
